kaggle_review_style,srm_style,Number,Style Name,Style Category,ABV Min,ABV Max,ABV Mid,IBU Min,IBU Max,IBU Mid,SRM Min,SRM Max,SRM Mid,Description,Commercial Example Name,Commercial Example Picture,srm_rgb
Eisbock,Eisbock,9B,Eisbock,Strong European Beer,9.0,14.0,11.5,25,35,30.0,18.0,30,24.0,"A dark, full-bodied German-style lager that is very strong and carries a viscous quality.",Kulmbacher Eisbock,http://lh3.ggpht.com/AJl2-fyGhcdL_NUHQVuU1ZLGYUSFvn1ozxXxK59AwPr_lJ5xt2TTPzaLef6HaZuX78UUde_B3Zjnws3U5amQSWAbt0wVGGo,#821E00
English Barleywine,English Barleywine,17D,English Barleywine,Strong British Ale,8.0,12.0,10.0,35,70,52.5,8.0,22,15.0,"An intense, complex English ale that showcases malty richness paired with a velvety, luscious texture.",Firestone Walker Sucaba,http://lh4.ggpht.com/2bEtJiPT1M-oFo1Nro8xbvfRL40dpuKM3qOr9jc7hmq1pMFGQxDhuwcqFkNV0YvNXNumyQbTLGjOVBMqLzbR8XdM5ZBQpQ,#BB5100
English Bitter,Best Bitter,11B,Best Bitter,British Bitter,3.8,4.6,4.2,25,40,32.5,8.0,16,12.0,A refreshing session beer with aromatic hops and a balanced malt profile.,Harvey’s Sussex Best Bitter,,#CF6900
English Brown Ale,British Brown Ale,13B,British Brown Ale,Brown British Beer,4.2,5.4,4.8,20,30,25.0,12.0,22,17.0,"A brown British ale centered around light, caramel-centric malty notes.",Riggwelter Yorkshire Ale,,#B04500
English Dark Mild Ale,Dark Mild,13A,Dark Mild,Brown British Beer,3.0,3.8,3.4,10,25,17.5,12.0,25,18.5,"A dark, malt-focused session ale with a wide range of dark malt and sugar expression.",Theakston Traditional Mild,,#A63E00
English India Pale Ale (IPA),English IPA,12C,English IPA,Pale Commonwealth Beer,5.0,7.5,6.25,40,60,50.0,6.0,14,10.0,A moderately strong British-style ale with a focus on the hoppy aroma and dry finish.,Meantime India Pale Ale,http://lh5.ggpht.com/QnXLIZZG1qE31YeeOmW8Yv-r7ZG7-AzunNKzKsrLHfSW5fxP_NP_k10LzqgHXKryGNbtXyjww5SPAI3RonlG1H89KbkALg,#DE7C00
English Pale Ale,American Pale Ale,18B,American Pale Ale,Pale American Ale,4.5,6.2,5.35,30,50,40.0,5.0,10,7.5,"A moderate, refreshing ale with noticeable hop aroma balanced by supporting malt flavors.",Sierra Nevada Pale Ale,http://lh3.googleusercontent.com/1KpRDqZoad482vvDW12Oi8gDlc-X-Lj0p0COkpfttQYg8KHwQQiYRFPtkrE8q4_7IdNgIRiijQUyxlYbim--C2x3fXJxdw,#F39C00
English Pale Mild Ale,British Golden Ale,12A,British Golden Ale,Pale Commonwealth Beer,3.8,5.0,4.4,20,45,32.5,2.0,6,4.0,"A pale, moderate ale centered around its hop profile.",Kelham Island Pale Rider,,#FFBF42
English Porter,English Porter,13C,English Porter,Brown British Beer,4.0,5.4,4.7,18,35,26.5,20.0,30,25.0,A moderately strong brown beer that explores roasted malt flavors of chocolate and caramel.,Fuller's London Porter,http://lh4.ggpht.com/d8zRovY0J2118_-3WUncCF02eqY4o1DW3BjROfANf5fshfa7VW6njMchWcbrNxZ_VfsJCE2FInDxkW2QsbIOUJEMLLpRrg,#7B1A00
English Stout,Irish Stout,15B,Irish Stout,Irish Beer,4.0,4.5,4.25,25,45,35.0,25.0,40,32.5,A black beer with a well-rounded bitterness that’s balanced with a pronounced roasted flavor that gives off coffeee notes.,Harpoon Boston Irish Stout,http://lh3.googleusercontent.com/SBRoVZkJN7qVm2_2klW0EFCE5JqumJfjkxeOF-Znb8DZmHK0Tfvss9Qx1pNhfYPGgAMxlmxQbpe8oiMFmet8IPsdS5CPeA,#560A05
English Strong Ale,British Strong Ale,17A,British Strong Ale,Strong British Ale,5.5,8.0,6.75,30,60,45.0,8.0,22,15.0,"A smooth, robust ale rich in nutty, toffee, and caramel malt flavors with a hint of dark fruit notes.",Young's Winter Warmer,http://lh5.ggpht.com/zPEc-gTKR49PBlA_fqoaAkm0o6LeEv8ceu7rukwoiOdicbMX9iz05beKeqau4Y3KjcbX8HtCHBJNI4uHdIBEUt6b_T86_nQ,#BB5100
Euro Dark Lager,International Dark Lager,2C,International Dark Lager,International Lager,4.2,6.0,5.1,8,20,14.0,14.0,22,18.0,A dark and sweet international pale lager that is full-bodied with malt as the primary flavor element.,Shiner Bock,http://lh3.googleusercontent.com/e2MLpIvpzjH6-OF2UiXDRcoEEk2QffPg9csL5yB72P4Qloy9kNTL6QQWF7m9hQtNce4qzXXFyF6kLaTEqxhU7yPyTATHrBw,#A63E00
Euro Pale Lager,International Pale Lager,2A,International Pale Lager,International Lager,4.6,6.0,5.3,18,25,21.5,2.0,6,4.0,"A highly carbonated, medium-bodied lager that is well-balanced.",Heineken,http://lh4.ggpht.com/80tXfLBPO1_Qkv6ljC6NkD27F7mfuPjT_cc9MGKlv9hVeSzgtP2wP5etw0x8XsP-uq-5k6oJv5RsTtyvJ3Nhv6m2wNYBBg,#FFBF42
Euro Strong Lager,International Pale Lager,2A,International Pale Lager,International Lager,4.6,6.0,5.3,18,25,21.5,2.0,6,4.0,"A highly carbonated, medium-bodied lager that is well-balanced.",Heineken,http://lh4.ggpht.com/80tXfLBPO1_Qkv6ljC6NkD27F7mfuPjT_cc9MGKlv9hVeSzgtP2wP5etw0x8XsP-uq-5k6oJv5RsTtyvJ3Nhv6m2wNYBBg,#FFBF42
Extra Special / Strong Bitter (ESB),Strong Bitter,11C,Strong Bitter,British Bitter,4.6,6.2,5.4,30,50,40.0,8.0,16,12.0,A pale bitter ale with pronounced malt and hop flavors.,Bass Ale,,#CF6900
Faro,Lambic,23D,Lambic,European Sour Ale,5.0,6.5,5.75,0,10,5.0,3.0,7,5.0,"A sour, somewhat funky wild Belgian wheat beer with earthy flavors.",Oceanside Ale Works Daliesque,http://lh3.ggpht.com/aXfnnYZZRo2b3x0HgKfh6X6okkK-YZEx_MdDnSWcRgfC52ZqEI8r_pOrb5LpZeU_I9X3-KCZu7IUP_0D7NrRyJ5hIeOtww,#FBB123
Flanders Oud Bruin,Oud Bruin,23C,Oud Bruin,European Sour Ale,4.0,8.0,6.0,20,25,22.5,15.0,22,18.5,"A somewhat sour, fruity, malty Belgian-style brown ale.",Liefmans Liefmans Oud Bruin,http://lh4.ggpht.com/zJLDqVht0TBP_diMbOZFkK1xbVitSM5_SyrLIYcyowlhUr6MtLuMki_Ek1TlWHXHVAbgU9la96eVhOv5x7a9OZ3KIU8h,#A63E00
Flanders Red Ale,Flanders Red Ale,23B,Flanders Red Ale,European Sour Ale,4.6,6.5,5.55,10,25,17.5,10.0,16,13.0,"A sour, fruity, red wine-like Belgian-style ale.",Duchesse de Bourgogne,http://lh5.ggpht.com/heaITHJHOdtm3bSxGe6I-XFhaKcrFRCydv02npD6S4u9EscRrG31-0v59-ec5aiGlgxjg8wJsrFX0DdncxSRl1PZ13Te,#CB6200
Foreign / Export Stout,Foreign Extra Stout,16D,Foreign Extra Stout,Dark British Beer,6.3,8.0,7.15,50,70,60.0,30.0,40,35.0,"A very dark, fairly dry stout with prominent roast flavors.",The Kernel Export Stout,,#470606
Fruit / Vegetable Beer,Fruit Lambic,23F,Fruit Lambic,European Sour Ale,5.0,7.0,6.0,0,10,5.0,3.0,7,5.0,"A fruity, sour, wild Belgian wheat beer.",Cantillon Vigneronne,http://lh3.googleusercontent.com/FNiAwPUrWcCg-chyDO8gAdG0f9cNkoVo8sbtszsjD3-GlhZAYNaUJ3caMslUkS0y6s-j_MKr2kSfzhz0zOyuvqfjPO-brgE,#FBB123
German Pilsener,German Pils,5D,German Pils,Pale Bitter European Beer,4.4,5.2,4.8,22,40,31.0,2.0,5,3.5,"A gold-colored, light-bodied German-style beer with crisp, floral hop aroma.",Paulaner Premium Pils,http://lh3.googleusercontent.com/YYFkpyGZTRstXaUpjRm2PlXYRFOpAwk8GFFvAnlupYS_gG7lG1y5GUaeAj2xlemNf-QsmmBrFoBBn9v8yoYrTNnZF2SI,#FFCA5A
Gose,Gueuze,23E,Gueuze,European Sour Ale,5.0,8.0,6.5,0,10,5.0,3.0,7,5.0,"A sour, balanced, highly carbonated, and very refreshing Belgian wheat beer.",Drie Fonteinen Oud Gueuze,http://lh6.ggpht.com/L71P6cE6tA9StUI4d4G2SgrNH1Sy0jeo81vvComN0Acb72AHsrKZV6IMI318erlSKbUEIaU-kndGnIOU8JM_f0NegMsylw,#FBB123
Gueuze,Gueuze,23E,Gueuze,European Sour Ale,5.0,8.0,6.5,0,10,5.0,3.0,7,5.0,"A sour, balanced, highly carbonated, and very refreshing Belgian wheat beer.",Drie Fonteinen Oud Gueuze,http://lh6.ggpht.com/L71P6cE6tA9StUI4d4G2SgrNH1Sy0jeo81vvComN0Acb72AHsrKZV6IMI318erlSKbUEIaU-kndGnIOU8JM_f0NegMsylw,#FBB123
Happoshu,American Light Lager,1A,American Light Lager,Standard American Beer,2.8,4.2,3.5,8,12,10.0,2.0,3,2.5,A light-bodied and very refreshing lager.,Bud Light,http://lh3.googleusercontent.com/insZIS_g3fAAoAOdYRxSF58nfWL-PaistrAb5vWwlS0M-LORuVqqW5Od07MdtM1oZrXe0dVIa_oDBlcy2i_sKBr1dOU5Rg,#FFD878
Hefeweizen,Weissbier,10A,Weissbier,German Wheat Beer,4.3,5.6,4.95,8,15,11.5,2.0,6,4.0,"A refreshing German-style wheat beer with high carbonation, a fluffy mouthfeel, and a dry finish.",Ayinger Bräu Weisse,http://lh3.ggpht.com/wXb0SHWFwPPsGytjXUQcq6vb5OSyjKahYodd7oDuLK3-OekbxUIbrs0x74TTgPVkAU9CtmhY8dOM8Rp8FOfYVb0L3mcwtBs,#FFBF42
Herbed / Spiced Beer,Old Ale,17B,Old Ale,Strong British Ale,5.5,9.0,7.25,30,60,45.0,10.0,22,16.0,A noticeably strong beer tilted towards malty sweetness that is best drunk by a warm fire on a cold winter’s night.,North Coast Old Stock,http://lh3.googleusercontent.com/EbmSGIOXNOOlnPY2e9LzhrfXLdcu98WCYrTKavcq3Uqgtn8FCs1CvXA0HqwJSFtM2qLIE2kcjbU5V-D0QDHC-yclRIJENg,#B54C00
